x,y
2692,1857
2905,1634
2720,1709
2912,1335
2919,1210
2924,1089
2732,1366
2690,2004
2876,2088
2863,2250
3251,2175
3668,1977
3665,2133
3384,1758
3387,1666
3393,1584
3401,1519
3406,1430
3655,1526
3671,1766
3671,1662
3704,1431
2737,1217
2734,1117
2919,929
2919,730
2745,882
2741,1004
3414,1217
3421,1134
3671,957
3729,827
3688,645
3753,667
3573,637
3455,639
3365,632
3175,565
3232,624
3008,605
3006,833
3012,720
3101,618
2756,750
3339,564
3047,388
3170,390
3945,410
4062,421
4099,613
4482,429
4587,433
4767,322
4757,240
4761,148
4948,343
4948,244
4963,117
4965,39
4468,627
4539,667
4610,670
4928,890
4933,761
5953,32
6179,27
6176,133
5947,115
5945,214
5926,864
6151,883
6148,988
6151,1074
5920,967
5916,1066
5909,1166
5908,1258
5892,1361
5879,1681
6563,521
6720,530
6758,730
6887,728
6838,773
7030,539
6998,748
7128,816
7336,344
7340,176
7171,229
7127,913
7297,1017
7303,1132
7304,1247
7115,1202
7114,1322
7101,1490
7090,1747
7090,1883
7273,1919
7273,2018
7266,2242
8140,2636
7931,2622
7708,2609
7500,2598
7253,2370
7261,2509
7298,2849
7709,2842
7938,2845
7052,3152
7240,3116
7233,3319
7057,3481
7215,3579
7220,3440
7660,3429
7049,3660
7043,3768
7039,3879
7035,4003
7030,4136
7023,4253
7243,3760
7286,3627
7195,4083
7212,3953
7020,4379
7578,3809
7704,3970
7711,3869
7711,3769
7190,4271
8047,4292
7943,4292
8115,3834
7996,3893
7902,3916
8082,3934
8129,3668
8102,4550
7509,4517
6200,4753
6348,4774
6592,4788
6919,4982
6893,4771
7425,4831
7757,4851
7179,4841
7161,4952
7743,5057
7162,5080
6136,4890
5679,4746
5766,4366
5762,4242
5766,4151
5775,4042
6031,4025
6021,4253
6137,5012
6386,5045
5775,3930
6048,3806
5779,3796
5784,3684
5790,3461
5805,3351
5820,3212
6062,3354
4907,1519
4723,1251
4923,1151
4725,1080
4663,2761
4669,2696
4662,2299
4857,2332
4671,2162
4581,4961
4589,4812
4783,5070
4786,4820
4899,4679
5044,4715
5148,4712
5289,4720
5393,4717
5083,5085
5332,5085
5599,4950
2732,5041
2748,4875
2761,4715
3123,4544
3256,4544
3385,4553
3515,4553
3645,4564
3783,4572
4367,4447
4241,4437
4000,4446
3874,4432
3746,4429
3620,4428
3502,4415
3385,4404
2599,4149
2782,4166
2604,4024
2790,4033
2787,3910
2607,3900
2612,3748
2805,3662
2802,3794
2614,3629
2619,3521
2815,3541
2616,3405
2823,3297
2820,3426
2625,3238
2631,3124
2828,3171
2646,3013
2838,3045
2838,2932
2589,2911
2556,3218
2555,3165
2557,3120
2240,2916
2289,2921
2333,2921
2375,2920
2433,2916
2453,2964
2037,2981
1966,3009
2313,2544
2198,2544
2141,2542
2087,2537
2028,2526
1959,2525
1899,2514
1837,2510
1747,2506
1859,2601
1807,2604
1742,2617
1679,2592
1546,2508
1648,2514
1551,2694
898,2599
1055,2532
1003,2628
1154,2628
1312,2593
1241,2776
882,2732
1006,2789
1125,2780
1003,2897
1395,2761
1279,2691
1424,2623
1533,2609
876,2859
867,2983
854,3216
865,3099
1001,3083
977,3200
1132,3008
1094,2897
766,3987
791,3855
823,3731
852,3606
854,3472
867,3352
730,4096
700,4197
42,4070
161,4216
519,3800
453,4019
376,3901
574,3447
123,2887
395,3432
399,3316
537,3319
2446,4607
2309,4581
2326,4352
2203,4356
2030,4339
2104,4576
1880,4575
1789,4344
1483,4329
1607,4334
1499,4552
1901,4359
1111,4546
922,4753
765,4655
871,4625
961,4563
713,4546
2956,2343
3280,2383
3407,2391
3540,2322
616,2524
2027,1842
2011,2118
647,669
1260,953
1424,982
1678,1119
1622,1482
1755,1450
1576,1349
1680,1338
1000,1640
1116,1646
150,1781
246,1794
153,201
532,449
974,522
1050,208
1285,223
1521,228
2068,498
2201,509
2329,517
2453,510
2928,42
2922,125
2934,251
5113,458
5351,471
5462,474
5774,505
4534,4298
4537,4239
4539,4173
4540,4104
4678,1917
