x,y
4096,608
7428,4806
8102,4543
3876,4436
3618,4426
3748,4428
3012,826
1054,204
2728,5026
696,4222
3502,4414
1609,4328
3020,714
4669,2686
6138,5027
3995,4446
2929,1643
3354,632
568,3382
2776,4162
2748,4874
2835,2923
900,4744
2310,2542
614,2545
7023,4255
2976,2338
2444,4601
3178,559
7030,4135
1484,4325
8066,3878
2582,2909
7200,4082
2787,4038
8018,4286
3710,1108
2100,4572
2880,2080
1104,4552
2835,3043
2815,3484
2920,1082
7738,4828
4588,4812
7019,4378
5758,4236
6150,865
3416,1124
1829,4276
64,3328
4765,224
2784,3906
4578,4960
2821,3300
7244,3632
2644,3011
7042,3884
2626,3238
1562,2677
3170,378
4663,2759
2316,4578
7516,4491
2030,4334
650,657
2937,911
3652,4570
2824,3165
4854,2316
7112,1506
7028,534
6054,3808
3090,606
1108,2684
846,3664
2680,1826
4967,34
1568,2204
1079,2617
1320,3678
4942,344
3671,952
4749,5030
1545,1028
524,3806
2760,4700
2806,3662
164,4236
2204,4356
6930,4692
1620,1518
2922,1328
534,443
234,3481
1854,2602
566,4794
7050,3154
2868,2226
1146,2582
1316,3810
5082,5080
7675,3877
7756,5017
861,3486
3361,4408
856,3002
3124,4539
2038,2980
1598,2514
4922,876
1800,2518
6141,4894
4456,623
2620,3507
2921,1220
2950,1808
382,3496
1374,2758
3386,4558
1521,222
3506,594
1717,4281
2616,3390
3545,4540
2993,602
3690,1458
5954,863
1072,3013
3714,1188
5820,3209
2626,3124
7656,3496
99,3468
4892,1520
2020,1823
5766,3914
1856,4578
6382,5062
958,4559
1460,2600
7128,812
590,3126
2304,4325
2588,4112
5604,4963
3718,644
6154,1060
5774,4352
224,3675
5810,3338
7717,2844
4064,412
3573,4381
7322,2847
1728,2620
7038,4007
1304,3968
2502,4120
4532,4112
2018,2096
3450,4528
2198,2542
3414,1278
2736,1108
2916,720
4584,432
4671,2154
7500,2600
502,4724
222,3284
2798,3792
4723,1246
3396,1596
154,3227
1044,1628
7184,4832
8131,3236
7232,3316
5776,3792
7702,2611
6034,4021
2612,3682
7238,3121
6184,91
3668,1984
5076,4684
1711,1140
2742,1004
7038,3772
8134,3648
2554,3210
3575,638
6566,4718
225,1770
2020,2530
1528,4571
1620,2704
5666,4688
1001,526
7594,2544
2742,866
806,4630
3777,4570
2602,3885
3665,2128
5003,4686
7207,3958
8027,2613
4924,4668
7048,3660
60,3144
3566,2308
7128,906
880,4916
1664,4324
2723,1688
3254,2178
43,3222
5879,1677
5816,3004
5792,3451
5788,3670
2460,2964
6064,3004
6999,730
1014,4904
4491,434
2730,1341
7268,2236
4748,4807
3938,406
68,4031
7272,2014
750,3973
1530,2779
2402,2802
1381,923
788,3858
5391,4715
1683,1336
876,3346
1930,4542
3293,600
5776,4028
1788,1728
2319,4158
1658,2200
4534,4267
4904,1147
6024,4253
2302,2922
7514,3314
7024,856
1008,1602
4624,668
1375,2843
4663,2297
468,3274
5769,4147
5946,208
370,3814
2482,4178
2513,2908
933,2890
1254,931
257,3363
7226,3443
6064,3344
2735,1200
1898,4340
6344,4754
1638,1102
4967,109
7104,1201
154,206
1544,5002
3704,1247
5956,64
4536,4168
859,2590
7311,1135
1413,4254
7108,1313
1152,4918
1805,2602
853,3101
7304,1261
1666,1216
1506,1106
7202,4268
1245,2777
1024,2640
7091,1886
6207,4708
2415,2911
3390,1752
1958,2525
5973,4228
1105,4017
6928,902
1377,4036
4974,2769
7652,3316
7006,4822
2552,3165
7054,4744
2769,1682
1076,2748
4724,1070
930,3242
2518,4046
2576,3313
858,2842
2518,3735
3598,2205
3578,1903
1226,5041
3286,2370
1393,4316
2563,3060
4516,3027
1010,3408
4935,758
6922,4930
2526,3822
5918,1063
641,183
1140,2757
7798,2550
5796,3976
4555,2837
2741,344
952,1645
161,4128
2558,2686
1107,1628
2691,3050
1886,3102
3738,776
7262,2328
5715,2098
846,3223
2113,2940
5785,4199
944,3138
1729,1240
1757,1416
782,5036
3435,2382
5890,1350
264,214
980,1158
4662,1368
369,522
4531,3106
7085,1662
2752,735
4689,78
5720,2552
857,2726
2056,3916
5962,960
763,56
5292,2284
2330,2830
1330,4032
5915,1154
977,163
7090,1578
68,2902
1040,3342
434,3994
5867,4870
1208,1008
4646,1519
1332,3430
7240,3832
2352,4219
1046,2808
2100,3959
4346,3405
6498,185
1088,1663
7271,856
1566,288
598,4984
2909,1736
