image_filename,num_trees,tree_points,path_points
image_1746551059_931153577.jpg,5,"[(600, 343), (630, 341), (658, 334), (723, 328), (963, 319)]",NO PATH
image_1746551061_931181870.jpg,5,"[(593, 334), (624, 332), (654, 332), (723, 324), (977, 320)]",NO PATH
image_1746551062_951177005.jpg,5,"[(595, 339), (627, 338), (657, 338), (731, 330), (996, 322)]",NO PATH
image_1746551064_951685209.jpg,5,"[(598, 330), (632, 330), (664, 330), (747, 318), (1043, 311)]",NO PATH
image_1746551066_991184150.jpg,5,"[(651, 337), (687, 337), (723, 330), (820, 323), (1192, 305)]",NO PATH
image_1746551069_11605720.jpg,4,"[(651, 341), (690, 339), (732, 336), (854, 321)]",NO PATH
image_1746551071_51174450.jpg,5,"[(402, 326), (651, 334), (692, 332), (741, 329), (904, 325)]",NO PATH
image_1746551072_71187890.jpg,5,"[(375, 338), (644, 336), (687, 334), (740, 334), (926, 321)]",NO PATH
image_1746551074_91308432.jpg,6,"[(339, 343), (640, 347), (686, 342), (746, 342), (816, 336), (1018, 328)]",NO PATH
image_1746551076_111211692.jpg,6,"[(182, 297), (620, 346), (670, 343), (745, 347), (805, 331), (929, 329)]","[(10, 410), (503, 364), (1271, 454), (598, 367)]"
image_1746551077_111296905.jpg,6,"[(284, 321), (636, 342), (689, 339), (770, 339), (832, 322), (963, 320)]","[(3, 396), (495, 351), (1274, 455), (606, 355)]"
image_1746551078_113336227.jpg,6,"[(284, 315), (648, 327), (705, 328), (796, 324), (850, 313), (1000, 305)]","[(5, 391), (511, 342), (1264, 442), (624, 344)]"
image_1746551079_131147043.jpg,6,"[(320, 319), (692, 335), (755, 331), (862, 328), (910, 318), (1087, 302)]","[(7, 396), (554, 347), (1269, 444), (665, 349)]"
image_1746551080_131181632.jpg,5,"[(291, 321), (688, 328), (760, 322), (885, 322), (1114, 307)]","[(5, 390), (547, 341), (1273, 446), (653, 345)]"
image_1746551081_131199421.jpg,5,"[(262, 316), (685, 328), (760, 327), (915, 319), (1136, 288)]","[(11, 401), (547, 343), (1268, 449), (657, 345)]"
image_1746551082_151152572.jpg,4,"[(275, 310), (716, 321), (802, 323), (995, 311)]","[(7, 395), (555, 341), (1274, 452), (675, 343)]"
image_1746551084_151283639.jpg,4,"[(222, 319), (741, 327), (850, 328), (1025, 306)]","[(6, 409), (595, 345), (1275, 443), (702, 349)]"
image_1746551085_172496425.jpg,4,"[(191, 302), (750, 328), (881, 324), (1058, 305)]","[(11, 416), (597, 343), (1273, 442), (707, 349)]"
