image_filename,num_trees,tree_points,path_points
image_1746551059_931153577.jpg,5,"[(600, 342), (630, 343), (658, 342), (723, 338), (964, 327)]",NO PATH
image_1746551061_931181870.jpg,5,"[(593, 341), (624, 341), (654, 335), (722, 327), (978, 322)]",NO PATH
image_1746551062_951177005.jpg,5,"[(596, 342), (628, 339), (658, 341), (728, 334), (1000, 330)]",NO PATH
image_1746551064_951685209.jpg,5,"[(598, 337), (631, 336), (664, 335), (748, 332), (1042, 318)]",NO PATH
image_1746551066_991184150.jpg,5,"[(650, 340), (686, 337), (721, 336), (824, 324), (1191, 303)]",NO PATH
image_1746551069_11605720.jpg,4,"[(653, 345), (690, 344), (731, 345), (855, 333)]",NO PATH
image_1746551071_51174450.jpg,5,"[(404, 342), (651, 342), (693, 340), (741, 339), (904, 326)]",NO PATH
image_1746551072_71187890.jpg,6,"[(384, 337), (644, 337), (686, 338), (739, 341), (812, 338), (933, 325)]","[(2, 383), (511, 355), (1261, 404), (620, 357)]"
image_1746551074_91308432.jpg,8,"[(283, 341), (348, 339), (639, 347), (687, 344), (747, 342), (816, 335), (924, 333), (1017, 324)]","[(10, 396), (497, 362), (1110, 403), (609, 359)]"
image_1746551076_111211692.jpg,8,"[(189, 331), (284, 347), (621, 349), (671, 349), (743, 344), (807, 341), (928, 332), (1165, 321)]","[(6, 411), (476, 364), (1272, 451), (590, 364)]"
image_1746551077_111296905.jpg,7,"[(172, 316), (283, 319), (636, 334), (688, 334), (771, 335), (829, 327), (961, 322)]","[(2, 388), (496, 351), (1276, 452), (594, 351)]"
image_1746551078_113336227.jpg,7,"[(153, 307), (289, 315), (648, 326), (705, 326), (798, 329), (851, 321), (1000, 312)]","[(1, 388), (497, 345), (1273, 441), (614, 342)]"
image_1746551079_131147043.jpg,7,"[(193, 311), (322, 320), (693, 328), (755, 328), (862, 328), (910, 319), (1086, 307)]","[(2, 392), (548, 345), (1273, 441), (660, 344)]"
image_1746551080_131181632.jpg,7,"[(135, 317), (291, 312), (689, 329), (759, 324), (885, 322), (917, 310), (1114, 297)]","[(3, 391), (539, 342), (1273, 444), (668, 341)]"
image_1746551081_131199421.jpg,5,"[(264, 311), (688, 327), (763, 321), (912, 315), (1132, 295)]","[(2, 384), (530, 342), (1275, 447), (654, 341)]"
image_1746551082_151152572.jpg,6,"[(277, 310), (717, 314), (801, 315), (886, 314), (997, 311), (1229, 288)]","[(6, 381), (562, 340), (1275, 447), (670, 337)]"
image_1746551084_151283639.jpg,7,"[(235, 312), (702, 331), (740, 326), (852, 322), (926, 310), (1023, 311), (1197, 303)]","[(4, 385), (580, 345), (1274, 444), (687, 341)]"
image_1746551085_172496425.jpg,5,"[(193, 318), (751, 322), (882, 318), (945, 313), (1059, 311)]","[(6, 395), (576, 346), (1273, 442), (708, 345)]"
image_1746551086_191159253.jpg,5,"[(120, 304), (746, 330), (897, 331), (942, 317), (1066, 308)]","[(2, 396), (555, 348), (1276, 441), (694, 346)]"
image_1746551087_211148853.jpg,4,"[(60, 307), (749, 325), (930, 314), (1089, 304)]","[(3, 391), (555, 345), (1276, 441), (697, 345)]"
image_1746551088_231169334.jpg,3,"[(737, 328), (944, 316), (1083, 302)]","[(7, 408), (551, 349), (1276, 440), (692, 350)]"
image_1746551089_231184498.jpg,3,"[(737, 322), (992, 303), (1104, 303)]","[(9, 396), (527, 349), (1271, 437), (666, 344)]"
