frame                                    | matched    | sgil_err_m | gps_err_m  | gps_pose                         | rtk_pose                         | current_pose                     | estimated_pose
-----------------------------------------+------------+------------+------------+----------------------------------+----------------------------------+----------------------------------+---------------------------------
images/image_00000140.png                | False      |       0.00 |       1.74 | (x=134.05, y=-129.73, yaw=82.83°) | (x=132.31, y=-129.61, yaw=82.83°) | (x=132.31, y=-129.61, yaw=82.83°) | (x=132.31, y=-129.61, yaw=82.83°)
images/image_00000152.png                | True       |       1.95 |       1.55 | (x=134.27, y=-125.29, yaw=84.57°) | (x=132.73, y=-125.47, yaw=84.57°) | (x=132.54, y=-125.17, yaw=84.57°) | (x=134.68, y=-125.50, yaw=88.57°)
images/image_00000167.png                | True       |       2.91 |       1.31 | (x=134.48, y=-120.33, yaw=85.15°) | (x=133.26, y=-119.84, yaw=85.15°) | (x=134.89, y=-120.53, yaw=85.15°) | (x=135.12, y=-122.08, yaw=87.15°)
images/image_00000182.png                | True       |       3.01 |       1.29 | (x=134.67, y=-115.06, yaw=85.76°) | (x=133.80, y=-114.11, yaw=85.76°) | (x=135.31, y=-116.81, yaw=85.76°) | (x=136.58, y=-115.26, yaw=89.76°)
images/image_00000198.png                | True       |       2.93 |       1.69 | (x=135.13, y=-109.57, yaw=86.13°) | (x=134.25, y=-108.13, yaw=86.13°) | (x=137.04, y=-109.77, yaw=86.13°) | (x=137.18, y=-108.04, yaw=91.13°)
images/image_00000212.png                | True       |       3.15 |       1.42 | (x=135.54, y=-104.10, yaw=86.41°) | (x=134.64, y=-103.01, yaw=86.41°) | (x=137.59, y=-102.57, yaw=86.41°) | (x=135.43, y=-99.96, yaw=85.41°)
images/image_00000228.png                | True       |       3.86 |       2.02 | (x=135.52, y=-99.00, yaw=86.77°) | (x=134.98, y=-97.05, yaw=86.77°) | (x=135.42, y=-94.86, yaw=86.77°) | (x=135.50, y=-93.22, yaw=91.77°)
images/image_00000243.png                | True       |       1.93 |       2.46 | (x=135.57, y=-93.85, yaw=87.11°) | (x=135.28, y=-91.41, yaw=87.11°) | (x=135.56, y=-88.07, yaw=87.11°) | (x=135.34, y=-93.34, yaw=86.11°)
images/image_00000258.png                | True       |       1.17 |       2.68 | (x=136.31, y=-88.37, yaw=87.27°) | (x=135.60, y=-85.79, yaw=87.27°) | (x=136.08, y=-87.87, yaw=87.27°) | (x=135.83, y=-86.94, yaw=86.27°)
